,id,article_size
0,144,277
1,183,359
2,246,681
3,248,1467
4,259,1192
5,316,50
6,396,1930
7,427,300
8,444,5598
9,483,2057
10,548,153
11,583,155
12,606,634
13,664,533
14,709,1039
15,711,545
16,713,713
17,740,279
18,797,172
19,816,605
20,848,860
21,853,811
22,863,1174
23,889,1113
24,979,1891
25,982,277
26,991,633
27,1019,1743
28,1057,213
29,1173,312
30,1210,4569
31,1310,522
32,1333,479
33,1385,359
34,1403,253
35,1467,217
36,1513,6540
37,1531,241
38,1583,215
39,1635,354
40,1677,147
41,1679,976
42,1693,423
43,1729,73
44,1744,641
45,1832,2574
46,1841,100
47,1858,188
48,1867,151
49,1868,395
50,1939,145
51,1960,334
52,2048,1108
53,2052,643
54,2061,455
55,2063,437
56,2091,140
57,2102,512
58,2103,534
59,2115,1194
60,2256,1305
61,2299,458
62,2374,638
63,2379,64
64,2398,1410
65,2407,706
66,2486,1030
67,2487,145
68,2529,127
69,2533,173
70,2549,142
71,2558,1954
72,2646,44
73,2687,987
74,2744,260
75,2755,1257
76,2765,249
77,2817,311
78,2855,488
79,2873,235
80,2878,1023
81,2884,314
82,2896,508
83,2948,601
84,2998,1229
85,3005,47
86,3058,645
87,3104,1442
88,3205,1376
89,3215,151
90,3246,336
91,3263,258
92,3307,332
93,3349,84
94,3375,588
95,3422,740
96,3436,186
97,3464,2220
98,3518,1045
99,3542,379
