from,to
803946.0,554382.0
803946.0,843335.0
1143861.0,81474.0
803946.0,554382.0
803946.0,843335.0
1143861.0,81474.0
204249.0,786492.0
204249.0,168402.0
421871.0,168402.0
421871.0,438519.0
803946.0,554382.0
803946.0,843335.0
953579.0,168402.0
976337.0,168402.0
1143861.0,81474.0
204249.0,786492.0
204249.0,168402.0
421871.0,168402.0
421871.0,438519.0
803946.0,554382.0
803946.0,843335.0
953579.0,168402.0
976337.0,168402.0
1068040.0,1068040.0
1143861.0,81474.0
204249.0,786492.0
204249.0,168402.0
421871.0,168402.0
421871.0,438519.0
577982.0,577982.0
803946.0,554382.0
803946.0,843335.0
953579.0,168402.0
976337.0,168402.0
1016571.0,101711.0
1016615.0,1149283.0
101711.0,448646.0
101711.0,246370.0
101711.0,604828.0
101711.0,517553.0
101711.0,1016571.0
101711.0,479851.0
1068040.0,1068040.0
1089707.0,528177.0
1089707.0,27781.0
1143861.0,81474.0
1149283.0,1016615.0
1149283.0,651613.0
1165523.0,693828.0
13751.0,531413.0
204249.0,786492.0
204249.0,168402.0
246370.0,101711.0
246370.0,879246.0
271544.0,679966.0
27781.0,721174.0
27781.0,1089707.0
304843.0,384846.0
304843.0,852717.0
389395.0,82497.0
389395.0,879246.0
389395.0,535212.0
389395.0,927440.0
389395.0,29460.0
389395.0,360229.0
414148.0,168402.0
421871.0,168402.0
421871.0,438519.0
448646.0,693828.0
517553.0,693828.0
517553.0,528177.0
577982.0,577982.0
628248.0,312393.0
628248.0,849987.0
679966.0,271544.0
683124.0,554382.0
693828.0,448646.0
693828.0,517553.0
693828.0,1165523.0
721174.0,27781.0
721174.0,271544.0
76700.0,1016571.0
76700.0,852717.0
803946.0,554382.0
803946.0,843335.0
842911.0,852485.0
849987.0,633963.0
849987.0,628248.0
852485.0,842911.0
852717.0,304843.0
894679.0,420036.0
943967.0,604828.0
943967.0,384846.0
953579.0,168402.0
976337.0,168402.0
1000371.0,379452.0
1016571.0,101711.0
1016615.0,1149283.0
101711.0,448646.0
101711.0,246370.0
101711.0,604828.0
101711.0,517553.0
101711.0,1016571.0
101711.0,479851.0
1062222.0,679966.0
1068040.0,1068040.0
1089707.0,528177.0
1089707.0,27781.0
1143861.0,81474.0
1149283.0,1016615.0
1149283.0,651613.0
1165523.0,693828.0
13751.0,531413.0
193583.0,651613.0
193583.0,604828.0
204249.0,786492.0
204249.0,168402.0
216297.0,1165523.0
216297.0,1016615.0
230202.0,725953.0
230202.0,517553.0
246370.0,101711.0
246370.0,879246.0
271544.0,679966.0
27781.0,721174.0
27781.0,1089707.0
304843.0,384846.0
304843.0,852717.0
312393.0,628248.0
33605.0,843335.0
33605.0,363039.0
33605.0,479851.0
33605.0,242804.0
33605.0,608311.0
386827.0,73844.0
389395.0,82497.0
389395.0,879246.0
389395.0,535212.0
389395.0,927440.0
389395.0,29460.0
389395.0,360229.0
414148.0,168402.0
421871.0,168402.0
421871.0,438519.0
448646.0,693828.0
479851.0,771352.0
517553.0,693828.0
517553.0,528177.0
528177.0,517553.0
528177.0,1089707.0
531413.0,290017.0
531413.0,386827.0
577982.0,577982.0
628248.0,312393.0
628248.0,849987.0
633963.0,849987.0
647703.0,82497.0
647703.0,879246.0
647703.0,339892.0
651613.0,1149283.0
651613.0,604828.0
679966.0,271544.0
683124.0,554382.0
693828.0,448646.0
693828.0,517553.0
693828.0,1165523.0
721174.0,27781.0
721174.0,271544.0
76700.0,1016571.0
76700.0,852717.0
803946.0,554382.0
803946.0,843335.0
842911.0,852485.0
849987.0,633963.0
849987.0,628248.0
852485.0,842911.0
852717.0,304843.0
856897.0,554382.0
894679.0,420036.0
943967.0,604828.0
943967.0,384846.0
968678.0,168402.0
976337.0,168402.0
1000371.0,379452.0
1016571.0,101711.0
1016615.0,1149283.0
101711.0,290017.0
101711.0,448646.0
101711.0,246370.0
101711.0,604828.0
