names_u,names_q
Nizamettin_Erkmen,Nizamettin_Erkmen
Claudio_Scajola,Claudio_Scajola
Yang_Ti-liang,Yang_Ti-liang
Mohammad_Natsir,Mohammad_Natsir
Kristalina_Georgieva,Kristalina_Georgieva
Otto_Hoetzsch,Otto_Hoetzsch
Carolyn_Maloney,Carolyn_Maloney
Todd_Rokita,Todd_Rokita
Massimo_Giorgetti,Massimo_Giorgetti
Brice_Lalonde,Brice_Lalonde
Slavica_Đukić_Dejanović,Slavica_%C4%90uki%C4%87_Dejanovi%C4%87
Bruce_Jesson,Bruce_Jesson
Thomas_Ravenel,Thomas_Ravenel
Akhilesh_Yadav,Akhilesh_Yadav
Luc_Recordon,Luc_Recordon
Gustaw_Przeczek,Gustaw_Przeczek
Jacques_Lavoie,Jacques_Lavoie
Nessa_Childers,Nessa_Childers
Tunji_Olurin,Tunji_Olurin
Jalagam_Vengala_Rao,Jalagam_Vengala_Rao
Mohammad_Reza_Aref,Mohammad_Reza_Aref
Ali_Ahsan_Mohammad_Mojaheed,Ali_Ahsan_Mohammad_Mojaheed
Rigoberta_Menchú,Rigoberta_Mench%C3%BA
Lucie_Leblanc,Lucie_Leblanc
David_Milwyn_Duggan,David_Milwyn_Duggan
Mark_Souder,Mark_Souder
Paul_Janson,Paul_Janson
Iain_Smith_(Scottish_politician),Iain_Smith_%28Scottish_politician%29
Al_Smith,Al_Smith
Sachin_Ahir,Sachin_Ahir
Maria_Lohela,Maria_Lohela
Mohammad_Khan_Qajar,Mohammad_Khan_Qajar
Tom_Tauke,Tom_Tauke
Wojciech_Olejniczak,Wojciech_Olejniczak
Samuel_Miller_Quincy,Samuel_Miller_Quincy
Alun_Davies_(politician),Alun_Davies_%28politician%29
Elżbieta_Bieńkowska,El%C5%BCbieta_Bie%C5%84kowska
V._J._Sukselainen,V._J._Sukselainen
Peter_Bossman,Peter_Bossman
Walter_E._Fauntroy,Walter_E._Fauntroy
Leopold_De_Wael,Leopold_De_Wael
Mira_Spivak,Mira_Spivak
Brody_Sweeney,Brody_Sweeney
Liza_M._Ortiz,Liza_M._Ortiz
G._M._Syed,G._M._Syed
James_W._Mott,James_W._Mott
Zhang_Zhijun,Zhang_Zhijun
Daggubati_Venkateswara_Rao,Daggubati_Venkateswara_Rao
Arthur_O'Neill,Arthur_O%27Neill
George_D._Perkins,George_D._Perkins
Francis_W._Eppes,Francis_W._Eppes
Deendayal_Upadhyaya,Deendayal_Upadhyaya
Rod_Donald,Rod_Donald
Adolf_Fischhof,Adolf_Fischhof
Francis_Burdett,Francis_Burdett
Emmanuel_Erskine,Emmanuel_Erskine
Dingiri_Banda_Wijetunga,Dingiri_Banda_Wijetunga
Peter_Naholo,Peter_Naholo
Alexander_H._Conner,Alexander_H._Conner
Vida_Goldstein,Vida_Goldstein
Christian_K._Wedemeyer,Christian_K._Wedemeyer
Chiu_Chuang-huan,Chiu_Chuang-huan
Mariliza_Xenogiannakopoulou,Mariliza_Xenogiannakopoulou
Thomas_Starr_King,Thomas_Starr_King
Antonio_Martino,Antonio_Martino
Graciliano_Ramos,Graciliano_Ramos
Guo_Jinlong,Guo_Jinlong
Wenxiang,Wenxiang
Vakha_Arsanov,Vakha_Arsanov
Pon_Radhakrishnan,Pon_Radhakrishnan
Seamus_Mallon,Seamus_Mallon
Domingos_Duarte_Lima,Domingos_Duarte_Lima
Larissa_Waters,Larissa_Waters
Parker_Griffith,Parker_Griffith
Raul_Manglapus,Raul_Manglapus
Carmencita_Hederman,Carmencita_Hederman
Carlos_Duque,Carlos_Duque
Hyman_Goldstein_(politician),Hyman_Goldstein_%28politician%29
Hilda_Mason,Hilda_Mason
Vicki_Berger,Vicki_Berger
Wilson_Hungerford,Wilson_Hungerford
Marcello_Dell'Utri,Marcello_Dell%27Utri
Ryan_Frazier,Ryan_Frazier
Volodymyr_Ohryzko,Volodymyr_Ohryzko
Gery_Chico,Gery_Chico
Bill_Rosendahl,Bill_Rosendahl
Barry_Campbell,Barry_Campbell
Antonio_Bajamonti,Antonio_Bajamonti
Xie_Xide,Xie_Xide
William_Bennett_(English_politician),William_Bennett_%28English_politician%29
Vicente_Riva_Palacio,Vicente_Riva_Palacio
Jim_Sillars,Jim_Sillars
Wijeyananda_Dahanayake,Wijeyananda_Dahanayake
Howard_Baker,Howard_Baker
Ottaviano_Del_Turco,Ottaviano_Del_Turco
Emil_Boc,Emil_Boc
Kathryn_Reilly,Kathryn_Reilly
Dmitry_Manuilsky,Dmitry_Manuilsky
Jann_Stuckey,Jann_Stuckey
Lyn_Brown_(politician),Lyn_Brown_%28politician%29
Jean-Jacques_Susini,Jean-Jacques_Susini
Robert_Libman,Robert_Libman
Heinz_Jost,Heinz_Jost
Shamsul_Huq,Shamsul_Huq
Manuel_Fraga_Iribarne,Manuel_Fraga_Iribarne
Zhang_Jian_(politician),Zhang_Jian_%28politician%29
Heinz_Neukirchen,Heinz_Neukirchen
Vasile_Stati,Vasile_Stati
B._D._Lakshman,B._D._Lakshman
Sheikh_Waqas_Akram,Sheikh_Waqas_Akram
Tina_Molinari,Tina_Molinari
Francesco_De_Martino,Francesco_De_Martino
Alex_C._Ruffing,Alex_C._Ruffing
Charlotte_Anita_Whitney,Charlotte_Anita_Whitney
Pedro_Montt,Pedro_Montt
Johan_Christian_Heuch,Johan_Christian_Heuch
Tiririca,Tiririca
Jalila_Jefferson-Bullock,Jalila_Jefferson-Bullock
Tan_Yankai,Tan_Yankai
A._T._M._Abdul_Mateen,A._T._M._Abdul_Mateen
Vilja_Toomast,Vilja_Toomast
Subramaniam_Sathasivam,Subramaniam_Sathasivam
Mark_Fredriksen,Mark_Fredriksen
Jia_Zhibang,Jia_Zhibang
Stephen_F._Chadwick,Stephen_F._Chadwick
Wilhelm_von_Bismarck,Wilhelm_von_Bismarck
Sam_Ratulangi,Sam_Ratulangi
Salih_Mahmoud_Osman,Salih_Mahmoud_Osman
Ulrik_Frederik_Cappelen,Ulrik_Frederik_Cappelen
Marco_Hausiku,Marco_Hausiku
Jacobus_Arnoldus_Graaff,Jacobus_Arnoldus_Graaff
Ben_Hueso,Ben_Hueso
Mridula_Sinha,Mridula_Sinha
Carlos_Julio_Arosemena_Monroy,Carlos_Julio_Arosemena_Monroy
Robert_Condon,Robert_Condon
Walter_Patrick_Twinn,Walter_Patrick_Twinn
Mostafa_Kavakebian,Mostafa_Kavakebian
Robert_Sharman-Crawford,Robert_Sharman-Crawford
Victoria_Hernandez-Reyes,Victoria_Hernandez-Reyes
Heinrich_Albertz,Heinrich_Albertz
Rodolfo_Elizondo_Torres,Rodolfo_Elizondo_Torres
Colleen_Hanabusa,Colleen_Hanabusa
Henry_E._Cooper,Henry_E._Cooper
Teodor_Teodorov,Teodor_Teodorov
George_Chan_Hong_Nam,George_Chan_Hong_Nam
Rob_Munro,Rob_Munro
Roger_van_Boxtel,Roger_van_Boxtel
Sajeeb_Wazed,Sajeeb_Wazed
Fred_Fono,Fred_Fono
Proco_Joe_Moreno,Proco_Joe_Moreno
Danny_Kinahan,Danny_Kinahan
Steve_Beshear,Steve_Beshear
Saburo_Okita,Saburo_Okita
Paul_Kronacker,Paul_Kronacker
Carol_Browner,Carol_Browner
Henry_Knox,Henry_Knox
Clive_Betts,Clive_Betts
Yan_Gamarnik,Yan_Gamarnik
Charles_Elwood_Brown,Charles_Elwood_Brown
Bobby_Richardson,Bobby_Richardson
Ge_Hongsheng,Ge_Hongsheng
Allison_Madueke,Allison_Madueke
Galvano_Della_Volpe,Galvano_Della_Volpe
Jolo_Revilla,Jolo_Revilla
Anna_Mukhamedov,Anna_Mukhamedov
Carmen_Alborch,Carmen_Alborch
W._D._Childers,W._D._Childers
Fotis_Kouvelis,Fotis_Kouvelis
John_Owen_Dominis,John_Owen_Dominis
Rolf_Gerhardsen,Rolf_Gerhardsen
Maria_Rita_Lorenzetti,Maria_Rita_Lorenzetti
James_Traficant,James_Traficant
Christine_Lagarde,Christine_Lagarde
Justo_Rufino_Barrios,Justo_Rufino_Barrios
