from,to
1000302,324604
1000371,404351
1000371,362815
1000371,13751
1000371,379452
1000429,575251
1000532,560497
1000588,488393
1000588,940520
1000588,495215
1000780,16017
100080,14766
100080,315028
1000834,527889
100088,70323
100088,975890
1001219,491391
1001219,558946
1001266,810460
1001266,305466
1001292,144224
1001292,1050201
1001292,757135
1001322,174567
1001325,1033173
1001325,84274
1001325,847881
1001325,734157
100146,334720
100146,240350
1001537,1069520
1001624,69859
1001624,1140434
1001624,1118769
1001632,1003351
1001727,247511
1001727,386870
1001889,155638
1001889,1047719
1001889,375990
1001960,280959
1001960,333841
1001960,613994
1001960,834278
1002058,1160011
1002058,326397
1002058,637101
1002058,62877
1002059,758230
1002059,676231
1002135,781814
1002135,620653
1002351,329695
1002351,774218
1002351,302306
1002358,873498
1002358,1075168
1002358,858714
1002469,225126
1002482,843335
1002482,962058
1002482,477637
1002482,871368
1002482,148729
1002482,792590
1002482,1042601
1002537,492448
1002537,605516
1002537,357059
1002537,498051
1002537,736011
1002584,747765
1002584,479851
1002584,29530
1002584,509892
1002584,599392
1002584,654177
1002584,819555
1002584,386870
1002584,452623
1002584,695091
1002584,637130
1002584,612500
1002584,742053
1002584,70680
1002584,222620
1002584,1005176
1002947,387190
1002947,450534
1002947,597466
1002947,556993
1002956,693296
1003120,898903
1003120,114090
1003164,857293
1003174,863762
1003331,10143
1003331,158638
1003351,1001632
1003351,938057
1003365,762520
1003504,576215
1003504,1003504
1003504,709541
1003504,830674
1003504,989739
1003504,50292
1003514,11200
1003539,627406
1003735,176656
1003735,986812
1003770,213417
1003770,1004862
1003770,1131841
1003770,179594
100382,1066481
1003847,1087815
1003859,1136718
1003859,131053
1003954,149494
1003954,554382
1003954,779220
1003954,201629
1003954,1081225
1003954,772140
1003954,776529
1004260,1156367
1004260,399141
100444,1033173
100444,60478
1004446,745790
1004446,416571
1004446,379567
1004454,1075168
1004481,711628
100457,925384
1004606,613448
1004606,554382
1004606,319666
1004606,469581
1004824,102093
1004950,510313
100510,919747
100510,774218
1005176,1089707
1005176,1002584
1005176,109927
1005176,722538
1005176,909959
1005176,609284
1005176,168402
1005176,701768
1005176,474702
1005176,597848
1005176,640099
1005176,943564
1005176,637130
1005176,452623
1005176,70680
1005176,1062222
1005176,977933
1005176,1073209
1005176,810141
1005176,679966
1005176,586954
1005176,35599
1005176,386827
1005176,130966
1005253,422452
1005253,855030
1005253,600955
1005262,221724
1005262,386605
1005262,1094217
1005262,372227
1005262,96727
1005262,243781
1005262,193419
1005262,657192
1005262,1073965
1005262,1066350
1005262,1088876
1005262,165651
1005262,875887
1005262,402010
1005262,1158181
1005262,989492
1005262,119440
1005262,718634
1005262,229690
1005262,213663
1005262,102093
1005342,186911
1005342,167726
1005368,679966
1005368,721174
1005368,27781
1005380,334077
1005380,1160671
1005380,841523
100557,792590
1005710,42645
1005765,560188
1005772,956584
1005802,797552
1005802,574741
1005802,474218
1005802,1089176
1005802,1134524
1005886,458127
1005886,479150
1005895,465608
1005895,1144617
1005895,558946
1005904,532260
1005968,62524
1006103,239041
1006103,152533
1006209,1011875
1006209,1029416
1006209,1150789
1006209,843335
1006262,688275
1006286,859940
1006404,532451
1006496,988002
1006496,946975
1006496,220155
1006496,642205
1006496,42645
1006496,859372
1006634,277432
100685,577778
100685,1016239
100685,1069483
1006864,168402
1006964,1081804
1007319,913456
1007322,947288
1007327,198260
1007378,997943
1007378,125161
1007416,953579
1007416,33988
1007416,216223
1007572,900785
1007572,485070
1007572,655532
1007771,421434
1007771,1007771
1007771,1166930
1007895,878963
1007895,1139891
1007998,729806
1007999,485598
1007999,558946
1008167,749543
1008167,1118769
1008257,274989
1008257,885462
1008302,990194
1008302,250050
1008302,516039
1008314,319889
1008392,757328
1008392,415417
1008392,719599
1008440,987768
1008440,1073965
1008440,989492
1008714,1122475
1008920,186911
1008920,859498
1008920,252208
1008956,497400
1008993,256201
1009015,1094247
1009116,196185
1009116,273700
1009116,352166
1009116,597466
100924,153226
1009264,1040609
1009264,146011
1009264,377940
1009264,494468
1009264,703922
1009264,804943
1009264,315167
1009264,575444
1009264,458609
1009380,436311
1009380,1118769
1009380,1082884
1009386,295362
1009386,592584
1009635,63047
1009635,93363
1009677,375550
1009682,1042381
1009682,980926
1009895,567178
1009960,762374
1009969,658659
1009969,944520
1009969,1110247
1009969,276770
1009969,174567
1009969,211965
1009969,489681
1010090,274989
1010090,1057259
101010,257890
101010,524866
101010,994176
101010,270749
1010252,776246
1010252,417872
1011172,1031538
1011211,807029
1011222,936823
1011222,792590
1011282,475095
1011282,843335
1011282,859940
1011282,312408
1011282,693057
1011282,370496
1011282,773668
1011282,524374
1011282,932083
1011282,186911
101131,803946
101131,253891
101131,652049
1011521,843335
1011521,204645
1011521,693057
1011521,859940
1011676,40968
1011676,206379
1011676,696652
1011676,4361
1011676,449173
1011676,378924
1011676,747357
1011676,84250
1011676,681017
1011676,94971
1011676,49678
1011676,689012
1011676,1026121
1011676,906050
1011676,386402
1011676,53179
1011676,1085509
1011676,449731
1011676,519288
1011676,288553
1011676,547653
1011676,577982
1011676,529253
1011676,21817
1011676,635030
1011676,96375
1011676,483843
1011676,182509
1011676,842282
1011676,546411
1011676,723803
1011676,511457
1011676,168402
1011676,797537
1011676,1135613
1011676,94562
1011676,306052
1011676,1112044
1011676,875213
1011676,184986
1011676,329895
1011676,992323
1011854,624858
1011854,763127
1011854,842752
1011854,219568
1011854,386402
1011854,168402
1011854,414148
1011854,529253
1011854,24895
1011854,1062222
1011875,719334
1011875,351734
1011875,1066078
1011875,230253
1011875,553728
1011875,1006209
1011938,711814
1011938,774218
1012016,121830
1012093,933572
1012093,207880
1012113,1150503
1012127,476320
1012127,677452
1012331,667756
1012331,930278
1012331,435670
1012331,279245
1012484,881039
1012484,452211
1012876,827193
1012876,921971
1012876,279628
1012876,1006964
1012876,1103415
1012876,427821
1012876,478648
1012876,35625
1012876,106457
1012876,1025326
1012876,639972
1012876,922040
1012876,1068228
1012876,1112872
1013020,30767
1013038,1110321
1013040,715046
1013040,978039
1013040,628248
1013040,799709
1013149,830433
1013149,479851
1013149,643183
1013149,771352
1013149,854092
1013149,2486
1013149,919625
1013149,760377
1013168,384846
1013259,1103415
1013274,848587
1013274,849537
1013274,352991
1013277,468064
1013277,114090
1013294,4070
1013424,617186
1013424,312710
1013424,168690
1013440,734157
1013440,1067626
1013440,1033173
1013579,287243
1013579,365842
1013579,492312
1013579,936022
1013579,384560
1013579,942802
1013579,391575
1013579,878859
1013623,438994
1013638,1130903
1013638,865901
1013638,50414
1013688,334460
1013688,1118769
1013688,2878
1013688,623609
1013688,1067225
1013688,386402
1013688,218551
1013688,436197
1013688,478031
1014164,1083848
1014248,744372
1014248,625612
1014248,594995
10143,479851
10143,409611
10143,781773
10143,279651
10143,500050
10143,433139
10143,235943
10143,1068040
10143,1078241
10143,409097
10143,768511
10143,681097
10143,572453
10143,370139
10143,235973
10143,160377
10143,841078
10143,1003331
10143,58955
10143,730783
10143,747313
10143,952019
10143,547869
10143,749102
10143,619211
10143,549569
10143,992792
10143,938090
10143,881590
1014364,465160
1014364,429995
1014364,498451
101442,168402
101442,402521
101442,240473
101442,719758
1014848,777670
1014956,293144
101563,424725
101563,665259
101563,290017
101563,635333
1015761,1094217
1015761,96727
1015761,875887
1015974,174567
1015974,1139837
1016029,1153703
1016091,498639
1016091,146501
1016091,254251
1016091,668368
1016091,17664
1016181,94584
1016181,498258
1016181,547139
1016181,174567
1016305,67970
1016451,922207
1016451,75121
1016463,724090
1016463,563500
101647,672193
101647,847881
101647,398186
