,file,nodes,edges
0,2001_06.csv,12,9
1,2001_12.csv,119,123
2,2002_06.csv,266,286
3,2002_12.csv,491,532
4,2003_06.csv,954,1123
5,2003_12.csv,1623,2206
6,2004_06.csv,2875,4372
7,2004_12.csv,4619,7877
8,2005_06.csv,6032,10816
9,2005_12.csv,7782,14483
10,2006_06.csv,9716,18904
11,2006_12.csv,11924,23731
12,2007_06.csv,14582,29735
13,2007_12.csv,16998,35534
14,2008_06.csv,19193,41241
15,2008_12.csv,21195,46365
16,2009_06.csv,23281,51368
17,2009_12.csv,25461,57275
18,2010_06.csv,27545,62957
19,2010_12.csv,29441,68063
20,2011_06.csv,31292,72826
21,2011_12.csv,32762,77570
22,2012_06.csv,34173,82173
23,2012_12.csv,35503,86423
24,2013_06.csv,37087,91170
25,2013_12.csv,38374,95081
26,2014_06.csv,40103,100367
27,2014_12.csv,41457,104925
28,2015_06.csv,43076,110056
29,2015_12.csv,44291,114638
30,2016_06.csv,45010,118141
31,2016_12.csv,45286,120390
