name_q,name_u,views
%C3%81d%C3%A1m_Ficsor,Ádám_Ficsor,725
%C3%81goston_Trefort,Ágoston_Trefort,2044
%C3%81ine_Brady,Áine_Brady,3149
%C3%81ine_Collins,Áine_Collins,2697
%C3%81kos_Birtalan,Ákos_Birtalan,1558
%C3%81kos_Kriza,Ákos_Kriza,337
%C3%81lfhei%C3%B0ur_Ingad%C3%B3ttir,Álfheiður_Ingadóttir,2285
%C3%81lvaro_Alsogaray,Álvaro_Alsogaray,2361
%C3%81lvaro_Ara%C3%BAjo_Castro,Álvaro_Araújo_Castro,1962
%C3%81lvaro_Arz%C3%BA,Álvaro_Arzú,10047
%C3%81lvaro_Colom,Álvaro_Colom,55259
%C3%81lvaro_Cunhal,Álvaro_Cunhal,8754
%C3%81lvaro_G%C3%B3mez_Hurtado,Álvaro_Gómez_Hurtado,3698
%C3%81lvaro_Garc%C3%ADa_Linera,Álvaro_García_Linera,16061
%C3%81lvaro_Garc%C3%ADa_Rodr%C3%ADguez,Álvaro_García_Rodríguez,163
%C3%81lvaro_Noboa,Álvaro_Noboa,10455
%C3%81lvaro_Obreg%C3%B3n,Álvaro_Obregón,72852
%C3%81lvaro_P%C3%A9rez_Morales,Álvaro_Pérez_Morales,1774
%C3%81lvaro_Uribe,Álvaro_Uribe,88666
%C3%81lvaro_de_Albornoz,Álvaro_de_Albornoz,58
%C3%81ngel_Acebes,Ángel_Acebes,2411
%C3%81ngel_Aguirre_Rivero,Ángel_Aguirre_Rivero,82
%C3%81ngel_Borlenghi,Ángel_Borlenghi,2234
%C3%81ngel_Calder%C3%B3n_de_la_Barca_y_Belgrano,Ángel_Calderón_de_la_Barca_y_Belgrano,1340
%C3%81ngel_Carvajal_Bernal,Ángel_Carvajal_Bernal,287
%C3%81ngel_Maza,Ángel_Maza,1745
%C3%81ngel_O._Berr%C3%ADos,Ángel_O._Berríos,821
%C3%81ngel_Pesta%C3%B1a,Ángel_Pestaña,2663
%C3%81ngel_Roberto_Seifart,Ángel_Roberto_Seifart,1016
%C3%81ngel_Rozas,Ángel_Rozas,1615
%C3%81ngel_Sergio_Guerrero_Mier,Ángel_Sergio_Guerrero_Mier,913
%C3%81ngel_Vicente_Pe%C3%B1aloza,Ángel_Vicente_Peñaloza,665
%C3%81rni_Mathiesen,Árni_Mathiesen,4338
%C3%81rni_P%C3%A1ll_%C3%81rnason,Árni_Páll_Árnason,116
%C3%81rp%C3%A1d_G%C3%B6ncz,Árpád_Göncz,14751
%C3%81rp%C3%A1d_H%C3%A1zi,Árpád_Házi,1769
%C3%81rp%C3%A1d_Henney,Árpád_Henney,1584
%C3%81rp%C3%A1d_Szab%C3%B3,Árpád_Szabó,1099
%C3%81rp%C3%A1d_Szakasits,Árpád_Szakasits,4249
%C3%81sgeir_%C3%81sgeirsson,Ásgeir_Ásgeirsson,6700
%C3%81sta_Ragnhei%C3%B0ur_J%C3%B3hannesd%C3%B3ttir,Ásta_Ragnheiður_Jóhannesdóttir,10495
%C3%82ngelo_Correia,Ângelo_Correia,4178
%C3%85ke_Gartz,Åke_Gartz,668
%C3%85sa_Romson,Åsa_Romson,2949
%C3%85sa_Torstensson,Åsa_Torstensson,2246
%C3%85se_Klundelien,Åse_Klundelien,924
%C3%85se_Marie_Hagen,Åse_Marie_Hagen,391
%C3%85slaug_Haga,Åslaug_Haga,3739
%C3%88ve-Mary_Tha%C3%AF_Thi_Lac,Ève-Mary_Thaï_Thi_Lac,4519
%C3%89amon_%C3%93_Cu%C3%ADv,Éamon_Ó_Cuív,22189
%C3%89amon_de_Valera,Éamon_de_Valera,285399
%C3%89dgar_Perea,Édgar_Perea,1887
%C3%89dith_Cresson,Édith_Cresson,22425
%C3%89douard_Balladur,Édouard_Balladur,20448
%C3%89douard_Bonnefous,Édouard_Bonnefous,71
%C3%89douard_Charton,Édouard_Charton,1894
%C3%89douard_Corniglion-Molinier,Édouard_Corniglion-Molinier,895
%C3%89douard_Daladier,Édouard_Daladier,55306
%C3%89douard_Fillias,Édouard_Fillias,1372
%C3%89douard_Grinda,Édouard_Grinda,2331
%C3%89douard_Herriot,Édouard_Herriot,11929
%C3%89douard_Herv%C3%A9,Édouard_Hervé,755
%C3%89douard_Vaillant,Édouard_Vaillant,2232
%C3%89lie_Aboud,Élie_Aboud,1350
%C3%89lie_Hoarau,Élie_Hoarau,3289
%C3%89lie_Lescot,Élie_Lescot,10055
%C3%89lisabeth_Guigou,Élisabeth_Guigou,7735
%C3%89lisabeth_Morin,Élisabeth_Morin,4379
%C3%89loi_Machoro,Éloi_Machoro,1552
%C3%89mile_Boga_Doudou,Émile_Boga_Doudou,2670
%C3%89mile_Borel,Émile_Borel,20009
%C3%89mile_Chartier,Émile_Chartier,9761
%C3%89mile_Combes,Émile_Combes,7535
