"#DBpURL	ID	WikiURL	gender	name	birthDate	deathDate	occupation	nationality	party",,,,,
"http://dbpedia.org/resource/Quincy_Timberlake	11	http://en.wikipedia.org/wiki/Quincy_Timberlake	male	[' quincy timberlake '"," ' timberlake quincy ']	[' 1980-04-22 ']	NA	['politician']	['kenyan']	NA",,,,
"http://dbpedia.org/resource/Fanny_Edelman	29	http://en.wikipedia.org/wiki/Fanny_Edelman	female	[' fanny edelman '"," ' edelman fanny ']	[' 1911-02-27 ']	[' 2011-11-01 ']	['politician']	['argentine']	NA",,,,
"http://dbpedia.org/resource/Stojan_NovakoviÄ‡	65	http://en.wikipedia.org/wiki/Stojan_NovakoviÄ‡	NA	[' stojan novakoviÄ‡ '", ' (ÑÅÑ‚??Ñ˜?°?? ???????°?º?????¸Ñ›) '," ' stojan novakovic ']	[' 1842-11-01 ']	[' 1915-02-18 ']	['historian'", 'philology', 'politician'," 'diplomat']	['serbian']	[' serbian progressive party (historical) ']"
"http://dbpedia.org/resource/Paul_Scheffer	102	http://en.wikipedia.org/wiki/Paul_Scheffer	male	[' scheffer paul ']	[' 1954-09-03 ']	NA	['politician']	NA	NA",,,,,
"http://dbpedia.org/resource/Ed_Robb	127	http://en.wikipedia.org/wiki/Ed_Robb	male	NA	NA	NA	['politician']	['american']	NA",,,,,
"http://dbpedia.org/resource/Nizamettin_Erkmen	144	http://en.wikipedia.org/wiki/Nizamettin_Erkmen	male	[' erkmen nizamettin ']	NA	[' 1990-10-24 ']	['politician']	['turkish']	NA",,,,,
"http://dbpedia.org/resource/Claudio_Scajola	183	http://en.wikipedia.org/wiki/Claudio_Scajola	male	[' claudio scajola ']	[' 1948-01-15 ']	NA	['politician']	['italian']	[' forza italia (2013) ']",,,,,
"http://dbpedia.org/resource/Lawrence_Lual_Lual	223	http://en.wikipedia.org/wiki/Lawrence_Lual_Lual	NA	[' lawrence lual lual ']	NA	NA	['politician']	['dinka people'"," 'sudanese']	[' national congress (sudan) ']",,,,
"http://dbpedia.org/resource/Thomas_Clausen_(Louisiana)	246	http://en.wikipedia.org/wiki/Thomas_Clausen_(Louisiana)	male	[' thomas greenwood clausen '"," ' clausen thomas greenwood ']	[' 1939-12-22 ']	[' 2002-02-20 ']	['politician']	['american']	[' democratic party (united states) ']",,,,
"http://dbpedia.org/resource/Yang_Ti-liang	248	http://en.wikipedia.org/wiki/Yang_Ti-liang	male	[' ti-liang yang ']	[' 1929-06-30 ']	NA	['politician']	NA	NA",,,,,
"http://dbpedia.org/resource/Georges_Colombier	252	http://en.wikipedia.org/wiki/Georges_Colombier	male	[' colombier georges ']	[' 1940-03-08 ']	NA	['politician']	['french']	[' union for a popular movement ']",,,,,
"http://dbpedia.org/resource/Gottlieb_Duttweiler	253	http://en.wikipedia.org/wiki/Gottlieb_Duttweiler	male	[' gottlieb duttweiler ']	[' 1888-08-18 ']	[' 1962-06-08 ']	['businessperson'"," 'politician']	['swiss']	[' alliance of independents ']",,,,
"http://dbpedia.org/resource/Mohammad_Natsir	259	http://en.wikipedia.org/wiki/Mohammad_Natsir	male	[' mohammad natsir '"," ' natsir mohammad ']	[' 1908-07-17 ']	[' 1993-03-14 ']	['politician']	['indonesian']	[' masyumi party ']",,,,
"http://dbpedia.org/resource/JÃ¡n_Å evÄçÃ?k	272	http://en.wikipedia.org/wiki/JÃ¡n_Å evÄçÃ?k	NA	[' sevcik jan ']	[' 1896-02-13 ']	[' 1965-03-06 ']	['politician']	['slovak']	NA",,,,,
"http://dbpedia.org/resource/Georges_Othily	316	http://en.wikipedia.org/wiki/Georges_Othily	male	[' othily georges ']	[' 1944-01-07 ']	NA	['politician'"," 'writer']	['french']	NA",,,,
"http://dbpedia.org/resource/Athanasios_N._Miaoulis	323	http://en.wikipedia.org/wiki/Athanasios_N._Miaoulis	male	[' athanasios n miaoulis '", ' Î±Î¸Î±Î?Î¬ÏƒÎ?Î¿Ï‚ Î? Î?Î?Î±Î¿ÏçÎ»Î·Ï‚ '," ' miaoulis athanasios n ']	NA	NA	['politician']	['greek']	NA",,,
