name,gender
Fereydun+Ebrahimi,Male
Patrice+Gélard,Male
Pierre-André+Kombila,Male
Jean+Moreau+de+Séchelles,Male
Zhang+Hao+(Wu),Male
"Athanase+Louis+Marie+de+Loménie,+comte+de+Brienne",Male
Yang+Hong+(Yuan+Shu+official),Unknown
Erico+Aumentado,Male
A.+Thangathurai,Male
Éric+Piolle,Male
Seán+Connick,Male
Padmalal+de+Alwis,Male
Costică+Canacheu,Male
Seán+Garland,Male
Seán+Brosnan,Male
Babulal+Patodi,Male
K.+Surendran+(politician),Male
Aurelius+Marie,Male
Mátyás+Szűrös,Male
Martín+Solís+Alatorre,Male
Germán+Busch,Male
Bharatsinhji+Dabhi,Male
Lyuben+Dilov+Jr.,Male
Kolë+Tromara,Male
Badaruddoza+Khan,Male
"Aloys,+7th+Prince+of+Löwenstein-Wertheim-Rosenberg",Male
Nicolás+del+Caño,Male
Ansumana+Jaia+Kaikai,Unknown
Pompone+de+Bellièvre,Male
N.+D.+Venkatachalam,Male
Fadey+Sargsyan,Male
Lu+Mao,Male
Ramanlal+Soni,Male
Wang+Bao'an,Male
S.+Natesan,Female
Sam+Singh,Male
Gustave+Ravier,Unknown
Eikichi+Minato,Male
Ponnapati+Antony+Reddi,Female
Bidwell+Adam,Male
Matiota+Kairo,Unknown
B.+S.+Gnanadesikan,Male
Zhu+Pu,Unknown
Taizō+Sugimura,Male
Étienne+Maynon+d'Invault,Unknown
Serhii+Bondarchuk,Male
Lucius-Duquesnes+Gustave,Male
Zhao+Kuangning,Male
Alwine+Dollfuß,Unknown
Rolen+Paulino,Unknown
Hennadiy+Vasilyev,Male
A.+V.+Aryan,Male
Li+Yan+(Wu),Unknown
Nard+Ndoka,Male
A.+Arunmozhithevan,Male
Vivekanand+Sharma,Male
Hamis+Hatta,Male
Motoda+Hajime,Male
Florestano+Di+Fausto,Male
Ainārs+Šlesers,Male
Han+Tha+Myint,Male
Jan+van+den+Brink,Male
Joseph-Georges+Caron,Male
P.+Narsa+Reddy,Male
Fahma+Ahmed+Noor,Female
Karne+Prabhakar,Male
António+Maria+Baptista,Unknown
Cornel+Rasanga+Amoth,Male
Gustav+Stolper,Male
Thuingaleng+Muivah,Male
Marie-Hélène+Thoraval,Female
Deepal+Gunasekara,Male
Jaime+del+Conde+Ugarte,Male
Mădălin+Voicu,Male
Kurur+Neelakandan+Namboodiripad,Unknown
Veroljub+Stevanović,Male
Chen+Qiufa,Male
Sidney+J.+van+den+Bergh,Male
Einars+Repše,Male
Kasymguly+Babaev,Male
Dipsinh+Shankarsinh+Rathod,Male
M.+E.+H.+Maharoof,Male
Jean-Yves+Le+Déaut,Male
J.A.R.+Dovi,Male
Ángel+Buendía+Tirado,Male
Wincents+Sebbelow,Unknown
Ștefan+Stoica+(politician),Male
Corradino+Mineo,Male
"Irineu+Evangelista+de+Sousa,+Viscount+of+Mauá",Male
Guntakandla+Jagadish+Reddy,Male
Bazarsad+Jargalsaikhan,Male
Jørun+Drevland,Male
Ángel+Vicente+Peñaloza,Male
"Fadrique+de+Toledo,+1st+Marquis+of+Villanueva+de+Valdueza",Male
Meng+Hongwei,Male
Jean+Garchery,Unknown
Yaronsho+Ngalung,Male
Chen+Anzhong,Unknown
Mao+Wanchun,Female
Bai+Xueshan,Unknown
Jaime+de+Zudáñez,Male
Lin+Qiang+(politician),Male
Yeo+Ning+Hong,Male
"Leka,+Crown+Prince+of+Albania",Male
Huang+Chieh,Male
Gaspar+Zarrías,Male
Ni+Fake,Male
Mykhailo+Polyanychko,Male
Puthumbaka+Bharathi,Unknown
Émile+Hamilius,Male
Võ+Hồng+Phúc,Male
Taber+D.+Bailey,Female
Jenő+Rácz+(Minister+of+Finance),Male
Fu+Dingyi,Male
W.+B.+Ekanayake,Male
Léonel+de+Moustier,Male
Liu+Guanglong,Unknown
Nano+Ružin,Male
Jitan+Ram+Manjhi,Male
M.+Rajanayagam,Male
Gustav+Kasselstrand,Male
Zyber+Hallulli,Female
Léon-Jean+de+Paepe,Male
Bolesław+Limanowski,Female
Démosthène+Ollivier,Male
Seath+Holswich,Male
Kichisaburō+Nomura,Male
Severinus+Desiré+Emanuels,Male
Wollert+Konow+(merchant),Male
Duma+Boko,Male
Seigo+Kitamura,Male
Péter+Vályi,Male
Luís+Carlos+Prestes,Male
Wu+Mingche,Male
Wu+Yuanheng,Unknown
Hans-Göran+Johansson,Male
Mykhailo+Hrushevsky,Unknown
François-Xavier+Villain,Male
Koh+Nai+Kwong,Male
Antonín+Baudyš,Male
Gopalrao+Patil,Unknown
D.+Murugesan,Male
K.+P.+Paramasivam,Male
Rosario+Romeo,Male
Takao+Makino,Unknown
Hidetoshi+Nishijima+(politician),Male
Rabesa+Zafera+Antoine,Male
Juanda+Jaya,Male
Céligny+Ardouin,Male
Miklós+Seszták,Male
Arsenije+Sečujac,Male
Lou+Shide,Unknown
Óscar+López+Águeda,Male
Bali+Bhagat,Male
Fan+Kuang-chun,Female
Li+Jinjun,Male
Seweryn+Franciszek+Czetwertyński-Światopełk,Male
Jarnail+Singh+(born+1981),Male
Raosaheb+Danve,Male
Augo+Lynge,Male
Krishna+Das+(politician),Male
Shōichi+Nakagawa,Male
Maheshdutta+Chandragopal+Mishra,Male
Saya+Gyi+U+Nu,Male
K+V+Kunhiraman,Male
Wang+Shuwen,Female
Benoît+Pelletier,Male
Büdragchaagiin+Dash-Yondon,Male
Friðjón+Þórðarson,Male
Wegger+Christian+Strømmen,Male
Oleksiy+Ryabchyn,Male
Jan+Bøhler,Male
Gulshara+Abdykhalikova,Female
Ker+Sin+Tze,Male
Wadsworth+Busk,Male
Hukmdev+Narayan+Yadav,Male
Moʻale+Finau,Male
Mpowele+Swathe,Male
Zhang+Xueming,Unknown
Kōki+Ishii,Male
K.+Lingamuthu,Male
"Jaime+Pieras,+Jr.",Male
Morgan+Johansson,Male
Jiang+Shi,Female
Seiken+Akamine,Male
Zhu+Hongzhao,Male
Kęstutis+Rimkus,Male
K.+Venkatapathy,Male
Aguibou+Koné,Male
Zawisza+Kurozwęcki,Unknown
Étienne+Mourrut,Male
Elżbieta+Witek,Female
Ramsingh+Ayarwal,Unknown
Wang+Jingchong,Unknown
"Yongqi,+Prince+Rong",Male
Pan+Chengyou,Unknown
Liu+Yin+(Southern+Han),Unknown
Nedjeljko+Mihanović,Male
Bektas+Beknazarov,Male
Radha+Gyawali,Female
Takao+Watanabe,Male
Yang+Xuangan,Unknown
Shiferaw+Shigute,Male
Sahak+Ter-Gabrielyan,Male
Antonín+Zápotocký,Male
"Gaspar+Méndez+de+Haro,+7th+Marquis+of+Carpio",Unknown
Wijepala+Hettiarachchi,Male
Xu+Jingqian,Unknown
Ștefan+Ciobanu,Male
Chu+Văn+An,Unknown
Chang+Kia-ngau,Male
Si+Xinliang,Male
Chen+Gang+(born+1906),Male
Tomàs+Caylà+i+Grau,Male
Lin+Yu-fang,Male
Vasava+Motilal+Puniyabhai,Male
Daishiro+Yamagiwa,Male
Nguyễn+Cơ+Thạch,Male
M.+L.+Ahamed+Fareeth,Male
Mohinder+Goyal,Male
Édgar+Núñez+(politician),Male
Xiao+Xian,Female
Li+Yinheng,Male
Sardarmal+Lalwani,Male
Chen+Fan,Unknown
Riffat+Akbar+Swati,Unknown
Gorakh+Prasad+Jaiswal,Unknown
Sun+Qingyun,Male
Karl-Hans+Kern,Male
Deendayal+Gupta,Male
Noël+Mamère,Male
"Qurban+Hussain,+Baron+Hussain",Male
Éamon+Ó+Cuív,Male
Wang+Xiaotang,Female
Srinjoy+Bose,Male
Jan+Hendrik+de+Waal+Malefijt,Male
Han+Yunzhong,Female
Kong+Fei,Male
Pon.+Raja,Male
S.+Kajendran,Male
Abang+Haji+Abdillah,Male
Satypal+Dang,Male
Parakala+Prabhakar,Male
Cai+Ming+(politician),Male
Wong+Sze+Phin,Male
A.+J.+John,Male
Risad+Badhiutheen,Male
Asyia+Naz+Tanoli,Female
Achérif+Ag+Mohamed,Male
Xu+Mengjia,Female
Leander+D.+Condee,Male
Sanchaman+Limboo,Male
Aníbal+Pérez,Male
