,file,nodes,edges
0,2001_06.csv,12,9
1,2001_12.csv,119,160
2,2002_06.csv,266,341
3,2002_12.csv,491,612
4,2003_06.csv,954,1286
5,2003_12.csv,1623,2618
6,2004_06.csv,2875,5327
7,2004_12.csv,4619,9586
8,2005_06.csv,6032,13356
9,2005_12.csv,7782,17911
10,2006_06.csv,9716,23434
11,2006_12.csv,11924,29435
12,2007_06.csv,14582,36992
13,2007_12.csv,16998,44396
14,2008_06.csv,19193,51686
15,2008_12.csv,21195,58244
16,2009_06.csv,23281,64673
17,2009_12.csv,25461,72215
18,2010_06.csv,27545,79753
19,2010_12.csv,29441,86358
20,2011_06.csv,31292,92762
21,2011_12.csv,32762,98856
22,2012_06.csv,34173,104747
23,2012_12.csv,35503,110482
24,2013_06.csv,37087,116788
25,2013_12.csv,38374,121831
26,2014_06.csv,40103,128891
27,2014_12.csv,41457,134963
28,2015_06.csv,43076,141871
29,2015_12.csv,44291,147809
30,2016_06.csv,45010,152537
31,2016_12.csv,45286,155605
