file,size
pagecounts-20100101-000001.gz,51.0
pagecounts-20100101-010000.gz,58.0
pagecounts-20100101-020000.gz,57.0
pagecounts-20100101-030000.gz,56.0
pagecounts-20100101-040000.gz,54.0
pagecounts-20100101-050000.gz,52.0
pagecounts-20100101-060000.gz,51.0
pagecounts-20100101-070000.gz,51.0
pagecounts-20100101-080000.gz,52.0
pagecounts-20100101-090000.gz,53.0
pagecounts-20100101-100000.gz,58.0
pagecounts-20100101-110000.gz,59.0
pagecounts-20100101-120001.gz,60.0
pagecounts-20100101-130000.gz,57.0
pagecounts-20100101-140000.gz,59.0
pagecounts-20100101-150000.gz,61.0
pagecounts-20100101-160000.gz,62.0
pagecounts-20100101-170000.gz,62.0
pagecounts-20100101-180000.gz,62.0
pagecounts-20100101-190000.gz,61.0
pagecounts-20100101-200000.gz,61.0
pagecounts-20100101-210000.gz,59.0
pagecounts-20100101-220000.gz,59.0
pagecounts-20100101-230001.gz,59.0
pagecounts-20100102-000000.gz,58.0
pagecounts-20100102-010000.gz,57.0
pagecounts-20100102-020000.gz,57.0
pagecounts-20100102-030000.gz,55.0
pagecounts-20100102-040000.gz,54.0
pagecounts-20100102-050000.gz,53.0
pagecounts-20100102-060000.gz,56.0
pagecounts-20100102-070000.gz,56.0
pagecounts-20100102-080000.gz,57.0
pagecounts-20100102-090000.gz,60.0
pagecounts-20100102-100000.gz,63.0
pagecounts-20100102-110000.gz,66.0
pagecounts-20100102-120001.gz,67.0
pagecounts-20100102-130000.gz,63.0
pagecounts-20100102-140000.gz,65.0
pagecounts-20100102-150000.gz,64.0
pagecounts-20100102-160000.gz,63.0
pagecounts-20100102-170000.gz,63.0
pagecounts-20100102-180000.gz,59.0
pagecounts-20100102-190000.gz,52.0
pagecounts-20100102-200000.gz,53.0
pagecounts-20100102-210000.gz,52.0
pagecounts-20100102-220001.gz,52.0
pagecounts-20100102-230000.gz,53.0
pagecounts-20100103-000000.gz,55.0
pagecounts-20100103-010000.gz,59.0
