,0
0,pagecounts-20080513-080000.gz
1,pagecounts-20081122-030000.gz
2,pagecounts-20080216-200000.gz
3,pagecounts-20080529-030000.gz
4,pagecounts-20081203-180000.gz
5,pagecounts-20080613-170000.gz
6,pagecounts-20081216-130000.gz
7,pagecounts-20080806-020001.gz
8,pagecounts-20080424-170000.gz
9,pagecounts-20081219-010001.gz
10,pagecounts-20080724-080000.gz
11,pagecounts-20080430-000000.gz
12,pagecounts-20081211-010000.gz
13,pagecounts-20080405-090001.gz
14,pagecounts-20081023-130000.gz
15,pagecounts-20080407-220000.gz
16,pagecounts-20080226-050000.gz
17,pagecounts-20081224-120000.gz
18,pagecounts-20080501-140000.gz
19,pagecounts-20081215-090000.gz
20,pagecounts-20080320-160000.gz
21,pagecounts-20080904-060001.gz
22,pagecounts-20080522-070000.gz
23,pagecounts-20081114-190000.gz
24,pagecounts-20080613-120000.gz
25,pagecounts-20080612-210000.gz
26,pagecounts-20080517-230000.gz
27,pagecounts-20080624-000000.gz
28,pagecounts-20080919-010000.gz
29,pagecounts-20080428-150001.gz
30,pagecounts-20081114-120000.gz
31,pagecounts-20081003-070000.gz
32,pagecounts-20081230-020001.gz
33,pagecounts-20081002-040000.gz
34,pagecounts-20080430-160000.gz
35,pagecounts-20080510-110000.gz
36,pagecounts-20080514-190000.gz
37,pagecounts-20080420-230000.gz
38,pagecounts-20080808-050000.gz
39,pagecounts-20080703-070000.gz
40,pagecounts-20080701-220000.gz
41,pagecounts-20080831-100000.gz
42,pagecounts-20080714-150000.gz
43,pagecounts-20081126-140000.gz
44,pagecounts-20080323-170000.gz
45,pagecounts-20081124-000001.gz
46,pagecounts-20081128-000000.gz
47,pagecounts-20080516-210001.gz
48,pagecounts-20080701-230000.gz
49,pagecounts-20080709-050001.gz
50,pagecounts-20080515-230000.gz
51,pagecounts-20080710-140000.gz
52,pagecounts-20080702-120000.gz
53,pagecounts-20080403-070000.gz
54,pagecounts-20080210-190000.gz
55,pagecounts-20080324-030000.gz
56,pagecounts-20081101-230000.gz
57,pagecounts-20081214-170000.gz
58,pagecounts-20080327-210000.gz
59,pagecounts-20080304-010000.gz
60,pagecounts-20081031-220000.gz
61,pagecounts-20080808-000000.gz
62,pagecounts-20080811-200000.gz
63,pagecounts-20081031-000001.gz
64,pagecounts-20080908-230000.gz
65,pagecounts-20080301-190000.gz
66,pagecounts-20081220-070001.gz
67,pagecounts-20080714-020000.gz
68,pagecounts-20080906-100000.gz
69,pagecounts-20080209-060000.gz
70,pagecounts-20080222-140000.gz
71,pagecounts-20081116-110001.gz
72,pagecounts-20080417-230000.gz
73,pagecounts-20080107-120000.gz
74,pagecounts-20080917-040000.gz
75,pagecounts-20080904-050000.gz
76,pagecounts-20080428-030001.gz
77,pagecounts-20080216-140000.gz
78,pagecounts-20080110-020000.gz
79,pagecounts-20080607-020000.gz
80,pagecounts-20080120-080001.gz
81,pagecounts-20080603-040000.gz
82,pagecounts-20080821-200000.gz
