name_q,name_u,views
%27Abd_al-Ilah,'Abd_al-Ilah,55.0
%C3%81ine_Brady,Áine_Brady,646.0
%C3%81kos_Birtalan,Ákos_Birtalan,543.0
%C3%81lvaro_Alsogaray,Álvaro_Alsogaray,694.0
%C3%81lvaro_Ara%C3%BAjo_Castro,Álvaro_Araújo_Castro,697.0
%C3%81lvaro_Arz%C3%BA,Álvaro_Arzú,4533.0
%C3%81lvaro_Colom,Álvaro_Colom,27626.0
%C3%81lvaro_Cunhal,Álvaro_Cunhal,7560.0
%C3%81lvaro_G%C3%B3mez_Hurtado,Álvaro_Gómez_Hurtado,2070.0
%C3%81lvaro_Garc%C3%ADa_Linera,Álvaro_García_Linera,8984.0
%C3%81lvaro_Noboa,Álvaro_Noboa,4494.0
%C3%81lvaro_Obreg%C3%B3n,Álvaro_Obregón,42935.0
%C3%81lvaro_Uribe,Álvaro_Uribe,90833.0
%C3%81lvaro_de_Albornoz,Álvaro_de_Albornoz,25.0
%C3%81ngel_Acebes,Ángel_Acebes,1270.0
%C3%81ngel_Borlenghi,Ángel_Borlenghi,3.0
%C3%81ngel_Carvajal_Bernal,Ángel_Carvajal_Bernal,15.0
%C3%81ngel_Maza,Ángel_Maza,882.0
%C3%81ngel_O._Berr%C3%ADos,Ángel_O._Berríos,701.0
%C3%81ngel_Pesta%C3%B1a,Ángel_Pestaña,1488.0
%C3%81ngel_Rozas,Ángel_Rozas,640.0
%C3%81ngel_Sergio_Guerrero_Mier,Ángel_Sergio_Guerrero_Mier,622.0
%C3%81rni_Mathiesen,Árni_Mathiesen,1404.0
%C3%81rp%C3%A1d_G%C3%B6ncz,Árpád_Göncz,4899.0
%C3%81rp%C3%A1d_Szakasits,Árpád_Szakasits,1888.0
%C3%81sgeir_%C3%81sgeirsson,Ásgeir_Ásgeirsson,5273.0
%C3%85sa_Torstensson,Åsa_Torstensson,1550.0
%C3%85se_Klundelien,Åse_Klundelien,385.0
%C3%85se_Marie_Hagen,Åse_Marie_Hagen,314.0
%C3%85slaug_Haga,Åslaug_Haga,3148.0
%C3%88ve-Mary_Tha%C3%AF_Thi_Lac,Ève-Mary_Thaï_Thi_Lac,2304.0
%C3%89amon_%C3%93_Cu%C3%ADv,Éamon_Ó_Cuív,5323.0
%C3%89amon_de_Valera,Éamon_de_Valera,121973.0
%C3%89dgar_Perea,Édgar_Perea,959.0
%C3%89dith_Cresson,Édith_Cresson,13481.0
%C3%89douard_Balladur,Édouard_Balladur,12240.0
%C3%89douard_Bonnefous,Édouard_Bonnefous,27.0
%C3%89douard_Charton,Édouard_Charton,110.0
%C3%89douard_Corniglion-Molinier,Édouard_Corniglion-Molinier,67.0
%C3%89douard_Daladier,Édouard_Daladier,27903.0
%C3%89douard_Fillias,Édouard_Fillias,1132.0
%C3%89douard_Fritch,Édouard_Fritch,6.0
%C3%89douard_Grinda,Édouard_Grinda,1444.0
%C3%89douard_Herriot,Édouard_Herriot,5227.0
%C3%89douard_Herv%C3%A9,Édouard_Hervé,16.0
%C3%89douard_Vaillant,Édouard_Vaillant,650.0
%C3%89lie_Lescot,Élie_Lescot,3173.0
%C3%89lisabeth_Guigou,Élisabeth_Guigou,1976.0
%C3%89lisabeth_Morin,Élisabeth_Morin,168.0
%C3%89mile_Boga_Doudou,Émile_Boga_Doudou,1366.0
%C3%89mile_Borel,Émile_Borel,11068.0
%C3%89mile_Chartier,Émile_Chartier,4396.0
%C3%89mile_Combes,Émile_Combes,4256.0
%C3%89mile_Derlin_Zinsou,Émile_Derlin_Zinsou,1585.0
%C3%89mile_Driant,Émile_Driant,3528.0
%C3%89mile_Hamilius,Émile_Hamilius,838.0
