name_u,views
A._K._Antony,76364.0
A._T._M._Abdul_Mateen,3766.0
Abdul_Rahman_Mustafa,2096.0
Adam_Marshall,4105.0
Adnan_Kassar,3899.0
Adolf_Fischhof,2379.0
Adolf_Grimme,2376.0
Ahn_Sang-soo_(born_May_1946),2313.0
Akhilesh_Yadav,556055.0
Al_Smith,469592.0
Aldo_Tessio,873.0
Aleksandar_Tsankov,7874.0
Aleksi_Inauri,3310.0
Alex_C._Ruffing,592.0
Alexander_H._Conner,1166.0
Alexandros_Skouzes,1590.0
Ali_Ahsan_Mohammad_Mojaheed,11081.0
Allison_Madueke,13653.0
Alok_Sharma,22329.0
Alun_Davies_(politician),7654.0
Anastasio_Somoza_Debayle,122000.0
Angela_Merkel,2404469.0
Anitra_Steen,3279.0
Anna_Maria_Muccioli,3660.0
Anna_Mukhamedov,1637.0
Annelie_Lotriet,1256.0
Antoine_Wright_(politician),810.0
Anton_Alexander,938.0
Antoni_Macierewicz,41252.0
Antonio_Bajamonti,2324.0
Antonio_Martino,6501.0
Anwar_Ali_Cheema,6210.0
Arthur_Levitt,19009.0
Arthur_O'Neill,3649.0
Arturo_Montiel,11098.0
Asaf_Ali,27662.0
Attje_Kuiken,2898.0
Aymeric_Chauprade,7967.0
Aziz_Ishak,3979.0
B._D._Lakshman,1197.0
Barbara_Comstock,92151.0
Barry_Campbell,2953.0
Batt_O'Keeffe,4789.0
Belden_Bly,1532.0
Ben_Hueso,9573.0
Benedict_I_of_Esztergom,785.0
Benjamin_Nageak,7145.0
Betsey_Bayless,4267.0
Bhagwant_Mann,91704.0
Bill_Rebane,6190.0
Bill_Rosendahl,9559.0
Billy_Hutchinson,16421.0
Bimla_Kashyap_Sood,1736.0
Bismillah_Khan_Mohammadi,8283.0
Bob_McLeod_(politician),11342.0
Bobby_Richardson,42221.0
Bradley_M._Campbell,2700.0
Brian_Rohrbough,6622.0
Brice_Lalonde,10941.0
Brody_Sweeney,2530.0
Bruce_Jesson,2452.0
Bruce_Morrison,9844.0
Bryan_Owsley,1044.0
Buzz_Thomas,2284.0
C._A._Shah,1164.0
Carlos_Duque,3170.0
Carlos_Julio_Arosemena_Monroy,4632.0
Carlos_Veiga,5191.0
Carlos_Walker_Martínez,1274.0
Carmen_Alborch,1716.0
Carmencita_Hederman,2632.0
Carol_Browner,30730.0
Carolyn_Maloney,61987.0
Chandra_Shekhar_Dubey,3256.0
Charles_Elwood_Brown,3844.0
Charles_I._du_Pont,4469.0
Charles_J._Colgan,7021.0
Charles_Jordan_(government_official),952.0
Charlotte_Anita_Whitney,4936.0
Chay_Wai_Chuen,1584.0
Chen_Jitang,7283.0
Chen_Wu_(politician),3404.0
Cheng_Qian,7360.0
Chiu_Chuang-huan,2712.0
Christian_K._Wedemeyer,2934.0
Christine_Lagarde,493044.0
Christopher_Nsahlai,588.0
Claudio_Scajola,4100.0
Claus_Nissen_Riiber_Berg,740.0
Clive_Betts,11966.0
Clémentine_Autain,4336.0
Colleen_Hanabusa,48464.0
Collins_Dauda,5361.0
Corina_Fusu,2531.0
Cornelis_de_Witt,31035.0
Daggubati_Venkateswara_Rao,39437.0
Daisy_Elliott,1953.0
Danny_Kinahan,14333.0
David_Adams_(loyalist),2634.0
David_Azulai,6001.0
David_Burnside,5579.0
David_Maynier,3717.0
David_Milwyn_Duggan,2158.0
Declan_Bree,3607.0
Deendayal_Upadhyaya,203701.0
Dennis_Elwell_(politician),2074.0
Dennis_Mills,3750.0
Dingiri_Banda_Wijetunga,12101.0
Dmitry_Manuilsky,5587.0
Domingos_Duarte_Lima,1712.0
Dominic_Agostino,5229.0
Donald_Lee_(politician),733.0
Douglas_Carswell,113288.0
Ebenezer_Cooke_(politician),957.0
Ed_Flanagan_(politician),4123.0
Eddie_Fullerton,5589.0
Edi_Rama,112297.0
Edward_Cohen,3245.0
Elizabeth_Rowley,5528.0
Elżbieta_Bieńkowska,17044.0
Emese_Danks,912.0
Emil_Boc,12392.0
Emmanuel_Erskine,4059.0
Endre_Gyimesi,1066.0
Enrique_Balmaceda,1184.0
Eric_Swalwell,60643.0
Ernest_Tresidder,510.0
Esabelle_Dingizian,4398.0
Eva_Biaudet,3646.0
Fakhruddin_Ali_Ahmed,107672.0
Farooq_Naek,5959.0
Farrukh_Saleem,6358.0
Fathallah_Sijilmassi,3905.0
Ferenc_Bihar,1324.0
Ferenc_Schnetzer,1202.0
Filippos_Petsalnikos,1609.0
Firmin_Ayessa,1475.0
Fotis_Kouvelis,5827.0
Francesco_De_Martino,2503.0
Francie_Molloy,8352.0
Francis_Burdett,8883.0
Francis_W._Eppes,31272.0
Francisco_Antonino_Vidal,1686.0
Francisco_Forteza_(son),683.0
Fred_Fono,1347.0
Friedrich_Akel,3250.0
G._M._Syed,20754.0
Gabriel_Lund,680.0
Galvano_Della_Volpe,3679.0
Ge_Hongsheng,1663.0
Geoff_Plant,2999.0
George_Athor,5317.0
George_Chan_Hong_Nam,7111.0
George_D._Perkins,2630.0
George_Kettmann,1968.0
George_Mason,270477.0
Georges_Othily,1011.0
Gery_Chico,7944.0
Giulia_Jones,2337.0
Giulio_Prinetti,2323.0
Graciliano_Ramos,7976.0
Graham_Quirk,12919.0
Gulab_Singh_Shaktawat,850.0
Guo_Jinlong,12142.0
Gustaw_Przeczek,1994.0
Guy_Favreau,4656.0
Guy_Scott,60703.0
Hannan_Mollah,4722.0
Hans_Olav_Syversen,2239.0
Harold_Spender,1689.0
Harry_S._Truman,2926210.0
Harry_W._Shlaudeman,3461.0
Haya_van_Someren,1718.0
Heinrich_Albertz,3230.0
Heinz_Jost,32143.0
Heinz_Neukirchen,2268.0
Helga_Helgesen,610.0
Henry_E._Cooper,2446.0
Henry_Knox,163750.0
Henry_Wilhelm_Kristiansen,1885.0
Herbert_FitzSimons,653.0
Hermann_A._Widemann,2702.0
Hideo_Hiraoka,1354.0
Hilaria_Supa,4172.0
Hilda_Mason,2634.0
Howard_Baker,101434.0
Huang_Kecheng,4579.0
Hugh_Finn,1072.0
Hyman_Goldstein_(politician),1723.0
Iain_Smith_(Scottish_politician),4112.0
Imre_Antal_Kocsis,815.0
Ivo_Vajgl,2557.0
Jacobus_Arnoldus_Graaff,1023.0
Jacques_Lavoie,1175.0
Jairam_Ramesh,68751.0
Jalagam_Vengala_Rao,17654.0
Jalila_Jefferson-Bullock,3129.0
James_Bailie,796.0
James_Gralton,46022.0
James_Traficant,101577.0
James_W._Mott,2078.0
Jamshid_Amouzegar,30481.0
Janmeja_Singh_Sekhon,3735.0
Jann_Stuckey,2834.0
Javier_Mazariegos,754.0
Jean-Jacques_Susini,6097.0
Jeanette_Dousdebes_Rubio,670643.0
Jeff_Seeney,5406.0
Jens_Beutel,1058.0
Jesse_Hale_Moore,1589.0
Jessica_Wooley,1030.0
Jharna_Das,2876.0
Jia_Zhibang,1185.0
Jim_Graham,8874.0
Jim_Sillars,21701.0
Joaquín_Lloréns_Fernández_de_Cordoba,2551.0
Johan_Christian_Heuch,1188.0
Johannes_Kahrs_(politician),4785.0
John_Casimir_Ehrnrooth,3163.0
John_Foster_of_Dunleer,1092.0
John_G._Trueschler,1394.0
John_Hancock,593316.0
John_Marek,2678.0
John_McCoy_(politician),5057.0
John_Oceguera,2652.0
John_Owen_Dominis,33892.0
John_Pope_Cook,2138.0
John_Rathbone,1503.0
John_Stewart_McDiarmid,1678.0
John_White_(Louisiana_politician),7474.0
Joko_Widodo,381567.0
Jolo_Revilla,22070.0
Jonathan_Bell_(UK_politician),7109.0
Joseph_Ginat,1561.0
Josian_Santiago,2402.0
Josip_Predavec,1907.0
Juan_Vicente_Chiarino,839.0
Judson_Allen,1621.0
Julian_West_(politician),1854.0
Julie_Sutton_(mayor),1489.0
Julius_Anton_Glaser,1319.0
Justo_Rufino_Barrios,11489.0
Kamanawa,2960.0
Karpal_Singh,28297.0
Kathleen_Wynne,190478.0
Kathryn_Reilly,6031.0
Kay_A._Orr,10458.0
Kazuo_Aoki,2623.0
Kim_Jong-il,1236235.0
Kristalina_Georgieva,50379.0
Lajos_Bokros,4710.0
Lansana_Fadika,1335.0
Larissa_Waters,33597.0
Latifa_Akherbach,3037.0
Laura_María_Garro_Sánchez,920.0
Learnmore_Jongwe,5634.0
Leila_Al_Solh,5686.0
Leonidas_Iasonidis,890.0
Leopold_De_Wael,699.0
Liesbeth_Spies,2837.0
Liza_M._Ortiz,3135.0
Lovely_Anand,6145.0
Luc_Recordon,1525.0
Lucie_Leblanc,1064.0
Ludmyrna_Lopez,1100.0
Luke_Foley,14122.0
Lyn_Brown_(politician),12977.0
László_Németh,5184.0
M._S._Gill,13216.0
Mahamadou_Danda,2097.0
Majead_Ansari,2504.0
Malachy_McCourt,44543.0
Malek_Boutih,3970.0
Malik_Mehr_un_Nisa_Afridi,2416.0
Manuel_Fraga_Iribarne,16312.0
Marcello_Dell'Utri,13378.0
Marco_Hausiku,1816.0
Maria_Clara_Lobregat,4812.0
Maria_Lohela,7642.0
Maria_Rita_Lorenzetti,988.0
Marietta_Farrell,1572.0
Mariliza_Xenogiannakopoulou,1901.0
Mario_Villanueva,5184.0
Mark_Fredriksen,1539.0
Mark_Souder,15655.0
Marta_Grande,1596.0
Martha_Gutiérrez_Manrique,613.0
Martin_Mutschmann,7528.0
Maryam_Qaasim,2741.0
Marzuki_Darusman,7374.0
María_Eugenia_Vidal,14051.0
Massimo_D'Alema,26976.0
Massimo_Giorgetti,1978.0
Maurice_Xiberras,2221.0
Mehmet_Ali_Talat,10067.0
Melvin_Rambin,1596.0
Mervyn_M._Dymally,12663.0
Meyer_London,10240.0
Michael_Angottitauruq,750.0
Michael_Nadli,1472.0
Michael_Prysner,13681.0
Milan_Kňažko,24089.0
Mira_Spivak,1762.0
Mita_Teriipaia,707.0
Mohammad_Khan_Qajar,42538.0
Mohammad_Natsir,7825.0
Mohammad_Reza_Aref,23415.0
Moshe_Sneh,4017.0
Mostafa_Kavakebian,4128.0
Mridula_Sinha,35809.0
Muhammad_Aslam_Khan_Khattak,5395.0
Murali_(Malayalam_actor),91064.0
Myqerem_Tafaj,1949.0
Nahum_Langental,635.0
Nambaryn_Enkhbayar,19288.0
Nancy_Boyda,8993.0
Nancy_Shukri,13910.0
Navin_Maharaj,793.0
Nessa_Childers,9777.0
Ngo_Dinh_Diem,274530.0
Nicole_Collier,4000.0
Nikki_Haley,2282844.0
Nino_Host_Venturi,997.0
Nixon_Kiprotich_Korir,1997.0
Nizamettin_Erkmen,916.0
